time,temp(D16),pH(A0),sensor(V)
00:10:05,28.3125,-57.639824,1.4730259
00:10:06,28.25,-57.686716,1.4736702
00:10:08,28.25,-57.622224,1.472784
00:10:09,28.25,-57.592904,1.4723812
00:10:11,28.25,-57.598764,1.4724617
00:10:12,28.25,-57.54599,1.4717367
00:10:14,28.1875,-57.56945,1.472059
00:10:15,28.1875,-57.581184,1.4722202
00:10:17,28.1875,-57.563584,1.4719784
00:10:18,28.1875,-57.45805,1.4705282
00:10:20,28.1875,-57.493216,1.4710115
00:10:21,28.1875,-57.50495,1.4711728
00:10:22,28.1875,-57.469772,1.4706894
00:10:24,28.125,-57.46978,1.4706895
00:10:25,28.125,-57.381804,1.4694808
00:10:27,28.125,-57.358352,1.4691585
00:10:28,28.125,-57.393548,1.469642
00:10:30,28.125,-57.387688,1.4695616
00:10:31,28.125,-57.3525,1.4690781
00:10:33,28.0625,-57.35836,1.4691586
00:10:34,28.125,-57.364228,1.4692392
00:10:36,28.0625,-57.32904,1.4687557
00:10:37,28.0625,-57.293848,1.4682722
00:10:39,28.0625,-57.305588,1.4684335
00:10:40,28.0625,-57.311464,1.4685142
00:10:42,28.0625,-57.252808,1.4677084
00:10:43,28.0,-57.200044,1.4669833
00:10:45,28.0,-57.26454,1.4678695
00:10:46,28.0,-57.229364,1.4673861
00:10:48,28.0,-57.229364,1.4673861
00:10:49,28.0,-57.229376,1.4673864
00:10:51,28.0,-57.182456,1.4667417
00:10:52,28.0,-57.258676,1.4677889
00:10:54,28.0,-57.182456,1.4667417
00:10:55,28.0,-57.147264,1.4662582
00:10:57,27.9375,-57.17659,1.4666611
00:10:58,27.9375,-57.135544,1.4660971
00:11:00,27.9375,-57.16487,1.4665
00:11:01,27.9375,-57.112084,1.4657748
00:11:03,27.875,-57.147276,1.4662583
00:11:04,27.9375,-57.147276,1.4662583
00:11:06,27.9375,-57.106216,1.4656942
00:11:07,27.875,-57.100364,1.4656137
00:11:09,27.875,-57.123816,1.465936
00:11:11,27.875,-57.094496,1.4655331
00:11:12,27.875,-57.000688,1.4642441
00:11:14,27.875,-57.047576,1.4648884
00:11:15,27.8125,-57.02414,1.4645664
00:11:17,27.875,-57.012404,1.4644052
00:11:18,27.8125,-57.02414,1.4645664
00:11:20,27.8125,-57.047584,1.4648886
00:11:21,27.8125,-56.99482,1.4641636
00:11:23,27.8125,-56.988952,1.464083
00:11:24,27.8125,-56.95965,1.4636803
00:11:26,27.8125,-56.965492,1.4637606
00:11:27,27.75,-56.965492,1.4637606
00:11:29,27.75,-56.93032,1.4632773
00:11:30,27.75,-56.87755,1.4625522
00:11:32,27.75,-56.97722,1.4639217
00:11:33,27.75,-56.906852,1.4629549
00:11:35,27.75,-56.988952,1.464083
00:11:36,27.75,-56.930312,1.4632772
00:11:38,27.6875,-56.84236,1.4620688
00:11:39,27.75,-56.930312,1.4632772
00:11:41,27.6875,-56.8834,1.4626326
00:11:42,27.6875,-56.865816,1.462391
00:11:44,27.6875,-56.87169,1.4624717
00:11:45,27.6875,-56.889268,1.4627132
00:11:47,27.6875,-56.824768,1.461827
00:11:48,27.6875,-56.836502,1.4619882
00:11:49,27.6875,-56.830636,1.4619076
00:11:51,27.625,-56.81891,1.4617466
00:11:52,27.625,-56.87168,1.4624716
00:11:54,27.625,-56.854096,1.46223
00:11:55,27.6875,-56.73095,1.4605379
00:11:57,27.625,-56.807176,1.4615853
00:11:58,27.625,-56.772004,1.461102
00:12:00,27.625,-56.74855,1.4607798
00:12:01,27.625,-56.78373,1.4612632
00:12:03,27.625,-56.795456,1.4614242
00:12:04,27.5625,-56.76026,1.4609407
00:12:06,27.625,-56.78373,1.4612632
00:12:07,27.5625,-56.742676,1.4606991
00:12:09,27.5625,-56.71335,1.4602962
00:12:10,27.5625,-56.689904,1.4599739
00:12:12,27.5625,-56.730956,1.460538
00:12:13,27.5625,-56.707496,1.4602157
00:12:15,27.5625,-56.719224,1.4603768
00:12:16,27.5625,-56.695764,1.4600545
00:12:18,27.5625,-56.725084,1.4604573
00:12:19,27.5625,-56.713356,1.4602963
00:12:21,27.5,-56.69577,1.4600546
00:12:22,27.5,-56.654716,1.4594905
00:12:24,27.5,-56.6137,1.4589269
00:12:25,27.5,-56.643004,1.4593296
00:12:27,27.5,-56.625404,1.4590877
00:12:28,27.5,-56.67231,1.4597323
00:12:30,27.5,-56.63713,1.4592489
00:12:31,27.5,-56.619544,1.4590073
00:12:33,27.5,-56.625412,1.4590878
00:12:34,27.5,-56.62542,1.459088
00:12:36,27.4375,-56.60782,1.4588461
00:12:37,27.5,-56.53746,1.4578794
00:12:39,27.4375,-56.601968,1.4587658
00:12:40,27.4375,-56.66645,1.4596517
00:12:42,27.4375,-56.601968,1.4587658
00:12:43,27.4375,-56.6136768,1.4589267

